"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","523,849.58",
"Energy","350,931.16",
"Fuel Combustion","310,391.16",
"Energy Industries","181,993.33",
"Public Electricity and Heat Production","165,398.32",
"Petroleum Refining","5,951.50",
"Manufacture of Solid Fuels and Other Energy Industries","10,643.52",
"Manufacturing Industries and Construction","37,893.71",
"Iron and Steel","2,833.79",
"Non-Ferrous Metals","12,226.87",
"Chemicals","6,165.62",
"Food Processing, Beverages and Tobacco","3,339.46",
"Non-Metallic Minerals","4,918.67",
"Other","7,080.60",
"Transport","71,941.27",
"Domestic aviation","4,917.70",
"Road Transportation","62,524.05",
"Railways","1,769.05",
"Domestic Navigation","2,240.23",
"Other Transportation",490.25,
"Other Sectors","17,853.94",
"Commercial / Institutional","4,258.49",
"Residential","9,404.95",
"Agriculture, Forestry and Fishing","4,190.51",
"Other (not elsewhere classified)",708.90,
"Fugitive Emissions From Fuels","40,540.00",
"Solid Fuels","25,679.76",
"Coal Mining","25,668.52",
"Other",11.23,
"Oil and Natural Gas","14,860.24",
"Oil",556.32,
"Natural Gas","5,142.64",
"Venting and Flaring","9,161.28",
"Industrial Processes","26,373.54",
"Mineral Industry","6,357.07",
"Cement Production","3,475.41",
"Lime Production","1,275.34",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,606.31",
"Chemical Industry","3,241.12",
"Metal Industry","15,119.94",
"Non-energy products from fuels and solvent use",279.93,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances",998.29,
"Other product manufacture and use",236.72,
"Other",140.46,
"Agriculture","75,351.62",
"Enteric Fermentation","58,194.53",
"Manure Management","2,815.60",
"Rice Cultivation",489.44,
"Agricultural Soils","11,993.20",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",530.12,
"Liming",585.83,
"Urea Application",742.90,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","55,038.07",
"Afforestation and reforestation","-7,417.75",
"Deforestation","59,534.61",
"Forest management","-14,997.29",
"Cropland Management","2,207.76",
"Grazing land management","15,428.80",
"Revegetation",281.93,
"Waste","16,155.19",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:33:39 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."